t_ps,Te_1p0mW,Tl_1p0mW,Ts_1p0mW,Te_2p0mW,Tl_2p0mW,Ts_2p0mW,Te_2p5mW,Tl_2p5mW,Ts_2p5mW,Te_3p0mW,Tl_3p0mW,Ts_3p0mW,Te_3p5mW,Tl_3p5mW,Ts_3p5mW,Te_4p0mW,Tl_4p0mW,Ts_4p0mW
76.5,8.50690646237667,9.590598158499448,7.745217679349784,14.505063119121454,18.701540690525707,10.572159523092973,16.695542990555317,20.813445259887832,11.925437130580274,18.71608185607001,22.45652924894714,13.133811690496,21.134681990910796,24.484414001324684,14.232638381296185,25.202755825795148,27.269505220068915,18.497183711820576
76.75,8.485976412828524,9.53973547620217,7.744615547791865,14.48722319489981,18.66098801126718,10.572437472260185,16.676846383067712,20.773702760043108,11.925773424402554,18.695724950143177,22.416882056056483,13.133916729188162,21.11374485099244,24.44676460757934,14.23256759000616,25.185719622632796,27.24034150982896,18.509857895615358
77.0,8.465259823925694,9.489470946142307,7.743998924839666,14.469355400807775,18.620444669973743,10.57270360043422,16.658116870529675,20.733981993996597,11.926096788964934,18.675328912425773,22.377266451688126,13.134008803900173,21.092757530023604,24.409151052283104,14.23248480792677,25.16863627771656,27.2112277262396,18.522427108257006
77.25,8.444764022229156,9.439821546114867,7.74336799408606,14.45146003540853,18.57991081253426,10.572957921175412,16.639354858978777,20.69428308598821,11.926407243252086,18.65489427915868,22.33768248837762,13.134087939689282,21.071720739488764,24.371573296151748,14.232390072824542,25.151507066277873,27.182163672626842,18.534892184497636
77.5,8.424496255963723,9.390804024760959,7.742722943920653,14.43353739881462,18.539386595428926,10.573200448046626,16.620560755105735,20.654606166888524,11.926704806253454,18.63442158446164,22.298130223324776,13.134154161556586,21.050635185920545,24.334031302537596,14.232283422193495,25.134333240192007,27.153149154435248,18.547253944980422
77.75,8.404463674632778,9.3424347446404,7.742063967452304,14.415587793338297,18.49887218597333,10.573431194616166,16.60173496643634,20.6149513742285,11.926989496965295,18.61391136059563,22.258609718453943,13.13420749444921,21.029501571007994,24.296525037448728,14.232164893257877,25.11711602828047,27.124183980907507,18.55951319658811
78.0,8.384673277047954,9.294729530562192,7.741391262389169,14.397611523996524,18.458367762568084,10.573650174460848,16.582877900991576,20.575318840545517,11.927261334392048,18.593364138188292,22.219121040475233,13.1342479632625,21.008320591697004,24.259054469568504,14.23203452297494,25.099856636734366,27.095267965429166,18.571670732784057
78.25,8.365131893455148,9.247703794842018,7.740705030907111,14.379608898912862,18.417873514953722,10.573857401169233,16.56398996478298,20.535708681059365,11.927520337543957,18.572780446429636,22.179664260946616,13.134275592842267,20.987092940272145,24.221619569566343,14.231892348037647,25.082556249537877,27.06640092542916,18.58372733394418
78.5,8.345846183886152,9.201372502027219,7.74000547952312,14.361580229646385,18.377389644470448,10.574052888344967,16.54507156104258,20.496121014545015,11.927766525435842,18.552160813243574,22.140239456336733,13.134290407987036,20.965819303944894,24.184220300685467,14.231738404876378,25.065216028882414,27.037582682283027,18.595683767680008
78.75,8.32682262497701,9.155750093071962,7.739292818958199,14.343525831211641,18.33691635712787,10.574236649609992,16.52612309112641,20.456555966309942,11.927999917088327,18.531505765440173,22.100846708084646,13.134292433450327,20.944500363870933,24.146856621261147,14.231572729659115,25.047837115572026,27.00881306121859,18.607540789152974
79.0,8.308067473181834,9.110850281596008,7.7385672639726435,14.325446019033915,18.296453834435166,10.574408698604252,16.50714495528966,20.4170136683017,11.928220531529357,18.51081582862902,22.061486095984936,13.134281693942546,20.92313679517686,24.109528492081477,14.231395358293359,25.030420629420206,26.980091891224195,18.619299141380186
79.25,8.289586723467787,9.066686076190603,7.737829033167063,14.30734110636618,18.25600225771862,10.574569048983745,16.48813755330086,20.37749425921813,11.9284283877959,18.49009152555877,22.022157684407293,13.134258214129758,20.901729267267324,24.072235876585435,14.23120632642866,25.01296766963855,26.95141900495926,18.630959555531792
79.5,8.271386104766043,9.023269823112349,7.737078348786682,14.289211405723746,18.215561819608176,10.574717714422006,16.46910128493267,20.337997884620012,11.92862350493578,18.46933337514765,21.982861538669987,13.134222018632792,20.880278444095435,24.034978740881183,14.231005669459185,24.99547931521764,26.922794238667215,18.64252275122033
79.75,8.253471071861831,8.980613152533149,7.736315436521259,14.271057230331946,18.17513272429053,10.574854708612522,16.45003655035827,20.298524697045856,11.928805902009636,18.448541893033624,21.94359772895068,13.13417313202886,20.858784984400362,23.99775705376481,14.230793422526272,24.97795662530035,26.894217432090706,18.653989436782062
80.0,8.23584678836728,8.938726895181118,7.735540525292238,14.252878895199341,18.134715187765845,10.574980045271502,16.430943750475468,20.25907485612866,11.92897559809294,18.427717592126644,21.904366330346345,13.134111578853439,20.83724954191737,23.960570786739634,14.230569620521033,24.96040063954776,26.86568842838901,18.66536030955059
80.25,8.218518088659483,8.897620920059762,7.734753847011137,14.23467671792491,18.094309438111182,10.575093738140943,16.41182328717553,20.219648528714387,11.92913261227814,18.40686098306839,21.86516742293455,13.134037383602276,20.815672765564305,23.923419914035836,14.230334298086937,24.94281237849818,26.837207074057574,18.676636056122994
80.5,8.201489451395489,8.8573042048419,7.733955636316926,14.216451019316445,18.05391571574994,10.575195800991887,16.392675563569846,20.18024588898212,11.929276963676859,18.385972574617373,21.826001091835995,13.133950570733411,20.794055299608473,23.88630441263057,14.230087489622406,24.925192843919202,26.808773218849662,18.687817352618612
80.75,8.184764997832438,8.817784840172498,7.7331461303182,14.19820212387525,18.0135342737267,10.575286247627908,16.373500984182055,20.14086711835837,11.929408671422129,18.365052873973553,21.78686742727812,13.133851164669258,20.77239778381678,23.849224262268436,14.229829229283423,24.90754301915313,26.78038671570006,18.698904864930633
